2023/04/11 11:48:03 [error] 3860#1968: *1 CreateFile() "C:\Users\sametta.naga\OneDrive - Dedalus S.p.A\nginx-1.23.4\nginx-1.23.4/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2023/04/16 10:02:13 [error] 15716#7620: *21 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:05:13 [error] 15716#7620: *23 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:05:21 [error] 15716#7620: *24 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:05:32 [error] 15716#7620: *25 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:05:40 [error] 15716#7620: *26 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:05:57 [error] 15716#7620: *27 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:03 [error] 15716#7620: *28 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:13 [error] 15716#7620: *29 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:15 [error] 15716#7620: *30 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:17 [error] 15716#7620: *31 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:21 [error] 15716#7620: *32 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:24 [error] 15716#7620: *33 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:27 [error] 15716#7620: *34 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:53 [error] 15716#7620: *35 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:57 [error] 15716#7620: *36 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:58 [error] 15716#7620: *37 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:06:59 [error] 15716#7620: *38 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:07:21 [error] 15716#7620: *39 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:07:24 [error] 15716#7620: *40 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:07:31 [error] 15716#7620: *41 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:07:57 [error] 15716#7620: *42 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:08:04 [error] 15716#7620: *43 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:08:13 [error] 15716#7620: *44 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:08:17 [error] 15716#7620: *45 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:08:21 [error] 15716#7620: *46 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:08:37 [error] 15716#7620: *47 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:08:41 [error] 15716#7620: *48 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:09:30 [error] 15716#7620: *49 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:09:45 [error] 15716#7620: *50 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:09:49 [error] 15716#7620: *51 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:09:51 [error] 15716#7620: *52 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:09:55 [error] 15716#7620: *53 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:10:06 [error] 15716#7620: *54 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:10:09 [error] 15716#7620: *55 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:10:12 [error] 15716#7620: *56 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:10:25 [error] 15716#7620: *57 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:10:39 [error] 15716#7620: *58 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
